label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
nutrientInfo,SP,"The chemical elements and compounds that are necessary for plant growth, reproduction, metabolism.",SoilHealth,NutrientDesc,,,0,0,
soilType,TXP,"The type of soil corresponding to this observation, such as Alluvial SoilHealth, Black Cotton SoilHealth, Arid or Desert SoilHealth, etc.",SoilHealth,"Text, ValueDescriptor",,,0,0,
electricalConductivity,QP,The measure of electrical conductivity of the entity corresponding to this observation.,SoilHealth,"Text, ValueDescriptor",,,0,0,
soilSalinity,QP,The level of soil salinity. It is directly proportional to the measure of electrical conductivity of the soil moisture.,SoilHealth,"Number, ValueDescriptor",,,0,0,https://docs.google.com/spreadsheets/d/1MYx1ukUsCAM1pcixbVQSu49NU-LfXg-Dtt-ncLBzGAM/edit#gid=250742177
soilMoisture,QP,Volumetric Water Content (VMC) is the  numerical measure of soil moisture. It is simply the ratio of water volume to soil volume.,SoilHealth,"Number, ValueDescriptor",,,0,0,https://vegetronix.com/TechInfo/How-To-Measure-VWC
soilTexture,TXP,"Represents the texture of soil. It can take up values like sandy, silt, clay, loam.",SoilHealth,"Text, ValueDescriptor",,,0,0,
pH,QP,The measure of the acidity or basicity.,SoilHealth,"Number, ValueDescriptor",,,0,0,
soilQuality,TXP,"The quality of the soil which has been tested from the land parcel. ENUM [Good, Moderate, Poor].",SoilHealth,"Text, ValueDescriptor",,,0,0,
topSoilDepth,QP,"The measure of top soil layer, which contains the high nutrients and organic matter neccessary for plant growth.",SoilHealth,"Number, ValueDescriptor",,,0,0,
waterRetentionCapacity,QP,The water holding capacity of the soil.,SoilHealth,"Number, ValueDescriptor",,,0,0,
location,GP,Location of the sample corresponding to this observation,SoilHealth,"Place,
ValueDescriptor",,,1,1,
observationDateTime,TP,Last reported time of observation,"SoilHealth,
Common","DateTime, ValueDescriptor",,,1,0,
siltLevel,QP,The proportion of silt in the soil composition,SoilHealth,"Number, ValueDescriptor",,,0,0,
clayLevel,QP,The proportion of clay in the soil composition,SoilHealth,"Number, ValueDescriptor",,,0,0,
loamLevel,QP,The proportion of loam in the soil composition,SoilHealth,"Number, ValueDescriptor",,,0,0,
sandLevel,QP,The proportion of sand in the soil composition,SoilHealth,"Number, ValueDescriptor",,,0,0,
soilClass,TXP,The soil class may be specified as per the national system of soil classification or customizing the WRB(World Reference Base) codes.,SoilHealth,"Text, ValueDescriptor",,,0,0,Table2: https://www.fao.org/3/i3794en/I3794en.pdf
soilCategory,TXP,The soil category may be specified as per the national system of soil classification or customizing the WRB(World Reference Base) codes.,SoilHealth,"Text, ValueDescriptor",,,0,0,Table2: https://www.fao.org/3/i3794en/I3794en.pdf
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,"LandParcel,
CropCondition,
SoilHealth",LandIdentityDesc,,,1,0,
cropSpeciesInfo,SP,Information of crops corresponding to this observation.,"CropInsurance,
Farmer,
SoilHealth",CropCondition,,,1,0,
sampleID,TXP,The unique ID representing the sample corresponding to this observation,SoilHealth,"Text, ValueDescriptor",,,0,0,
sampleDateTime,TP,The date and time at which the sample is being collected corresponding to this observation.,SoilHealth,"DateTime, ValueDescriptor",,,0,0,
testCentreID,TXP,The unique ID of the centre at which the sample is being tested.,SoilHealth,"Text, ValueDescriptor",,,0,0,
testCentreName,TXP,The name of the centre at which the sample is being tested.,SoilHealth,"Text, ValueDescriptor",,,0,0,
testCentreCode,TXP,The unique code of the centre at which the sample is being tested.,SoilHealth,"Text, ValueDescriptor",,,0,0,
testDateTime,TP,The date and time at which the sample is being tested in the laboratory or the testing centre.,SoilHealth,"DateTime, ValueDescriptor",,,0,0,
healthCardNum,TXP,The unique number assigned to the soil health card corresponding to this observation.,SoilHealth,"Text,
ValueDescriptor",,,0,0,
generalAdvisory,TXP,"A general advisory to the farmers, for the cultivation of crops in regards to the conditions of weather, soil ,land etc. It may include warnings of potential catastrophical events.   ","AgriAdvisory, SoilHealth","Text,
ValueDescriptor",,,1,0,
validFrom,TP,The instance from which an official report/document or consent or service corresponding to this observation is valid.,"ConsentArtifact,
AgriAdvisory, SoilHealth","Text, ValueDescriptor",,consentIssual,1,0,
validTill,TP,"The specific period of time during which a document, authorization, offer or permission remains legally or effectively acceptable/applicable.","ConsentArtifact,
AgriAdvisory, SoilHealth","Text, ValueDescriptor",,consentExpiry,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory, AgriMachinery, SoilHealth",LocaleDesc,,,1,0,
